file_path,state,size_bytes,md5,page_count,class,reason,status,digital_guess,lang_guess,lang_source,lang_conf,lang_votes,garbled_detected
data/POP Bank/Maharashtra/Sunflower-08.pdf,Maharashtra,334850,23c3b04c2de67db69f773c2584a0370b,3.0,digital_en,len=5463 lang=am score=-26963.99 decision=digital_threshold,pending,True,indic,osd,0.8,indic;indic,True
data/POP Bank/Maharashtra/Sunflower-11.pdf,Maharashtra,338919,f86047e5ba688153449cf988740da6ba,3.0,digital_en,len=5493 lang=am score=-27112.78 decision=digital_threshold,pending,True,indic,osd,0.8,indic;indic,True
data/POP Bank/Maharashtra/Sunflower-171.pdf,Maharashtra,290890,9553c90102977a6e3623291808f8b59f,3.0,digital_en,len=5477 lang=am score=-27014.29 decision=digital_threshold,pending,True,indic,osd,0.8,indic;indic,True
data/POP Bank/Maharashtra/Sunflower-35.pdf,Maharashtra,306024,2e6cbcb1c103f3de89a1e21e51257537,3.0,digital_en,len=5415 lang=am score=-26995.93 decision=digital_threshold,pending,True,indic,osd,0.8,indic;indic,True
data/POP Bank/Maharashtra/TJP-48.pdf,Maharashtra,107555,cb3f310959ac8368f60459b8b0f0c531,2.0,digital_en,len=2235 lang=am score=-14734.97 decision=digital_threshold,pending,True,indic,osd,0.8,indic;indic,True
data/POP Bank/Maharashtra/TP-7.pdf,Maharashtra,189999,9279990fa38e15fdbfa34e1049a6cf38,2.0,digital_en,len=1666 lang=am score=-10473.15 decision=digital_threshold,pending,True,indic,osd,0.8,indic;unsure,True
data/POP Bank/Maharashtra/Terna.pdf,Maharashtra,114983,4ef5cb615322ff76c2bf737f7d9b7374,2.0,digital_en,len=2255 lang=am score=-14873.54 decision=digital_threshold,pending,True,indic,osd,0.8,indic;indic,True
data/POP Bank/Maharashtra/Tomato.pdf,Maharashtra,198702,bd19fcdd781985e4ea9914fe593ad1e5,2.0,digital_en,len=2153 lang=am score=-12700.93 decision=digital_threshold,pending,True,indic,osd,0.8,indic;indic,True
data/POP Bank/Maharashtra/Yellora.pdf,Maharashtra,187126,f9b93a985eaef1196408f39760904ded,2.0,digital_en,len=1704 lang=am score=-11070.63 decision=digital_threshold,pending,True,indic,osd,0.8,indic;indic,True
data/POP Bank/Rajasthan/final.pdf,Rajasthan,3079105,a2bce1db78e3aed3f8f8a2c77f10cf1a,26.0,digital_en,len=7163 lang=fo score=-4100.07 decision=digital_threshold,pending,True,indic,osd,0.65,indic;indic,True
