file_path,state,size_bytes,md5,page_count,class,reason,status,digital_guess,lang_guess,lang_source,lang_conf,lang_votes,garbled_detected
data/POP Bank/Himachal Pradesh/Package of Practices - Millet Chena.pdf,Himachal Pradesh,1341113,8db61a5a1a24cc66c09cc4cc8fc149eb,8.0,scanned_en,len=0 lang=en score=0.00 decision=scanned_low_text,pending,False,unsure,osd,0.0,unsure;unsure,False
data/POP Bank/Himachal Pradesh/Package of Practices - Millet Kangni.pdf,Himachal Pradesh,1387183,3f3ea726286e2513e3209baf45b9535e,8.0,scanned_indic,len=0 lang=hi score=0.00 decision=scanned_low_text,pending,False,unsure,osd,0.0,unsure;unsure,False
data/POP Bank/Himachal Pradesh/Package of Practices - Millet Kodra.pdf,Himachal Pradesh,1520530,2d844ea2b7087f63bd2f3c16786492f1,8.0,scanned_en,len=0 lang=en score=0.00 decision=scanned_low_text,pending,False,unsure,osd,0.0,unsure;unsure,False
data/POP Bank/Himachal Pradesh/Package of Practices - Millet Ragi.pdf,Himachal Pradesh,1515315,9d56bfe847c7d55158fee4894deb48a9,8.0,scanned_en,len=0 lang=en score=0.00 decision=scanned_low_text,pending,False,unsure,osd,0.0,unsure;unsure,False
data/POP Bank/Himachal Pradesh/Package of Practices - Millet Sawaan.pdf,Himachal Pradesh,1475020,ec47a19c317979e040188caa615f2c2b,8.0,scanned_en,len=0 lang=en score=0.00 decision=scanned_low_text,pending,False,unsure,osd,0.0,unsure;unsure,False
data/POP Bank/Himachal Pradesh/Package of Practices - Millet Swank.pdf,Himachal Pradesh,1358252,b0d978ced4c61f02e31604292b4a785a,8.0,scanned_en,len=0 lang=en score=0.00 decision=scanned_low_text,pending,False,unsure,osd,0.0,unsure;unsure,False
data/POP Bank/Himachal Pradesh/RabiCrops.pdf,Himachal Pradesh,1851703,a62cfaf13080866750e28d8d0ac3dd33,80.0,digital_en,len=2559 lang=zu score=-3266.28 decision=digital_threshold,pending,True,indic,osd,0.5,indic;indic,False
data/POP Bank/Himachal Pradesh/VegetableCrops.pdf,Himachal Pradesh,21757952,74d558c3c8daf818d4407c7bcd5f3b5b,,error,parse_error=EOF marker not found,pending,False,unsure,osd,0.0,,False
data/POP Bank/Jammu and Kashmir/POP Floriculture Crops.pdf.pdf,Jammu and Kashmir,1488133,6b71fb84931647bb2677958982c2a68f,74.0,digital_en,len=6464 lang=en score=-6360.91 decision=digital_threshold,pending,True,unsure,osd,0.245,unsure;unsure,False
data/POP Bank/Jammu and Kashmir/POP Kalazeera.pdf.pdf,Jammu and Kashmir,728683,ecc835a1f18102f469e1e2ff18488f77,12.0,scanned_en,len=0 lang=en score=0.00 decision=scanned_low_text,pending,False,unsure,osd,0.0,unsure;unsure,False
data/POP Bank/Jharkhand/Jharkhand PCRT book.pdf,Jharkhand,21495808,d6fff4b33887045f7aa1784f6c3d494a,2.0,scanned_en,len=0 lang=en score=0.00 decision=scanned_low_text,pending,False,unsure,osd,0.0,unsure;unsure,False
data/POP Bank/Madhya Pradesh/06062022_order.pdf,Madhya Pradesh,1762992,3b2195e50bd303b806d7fe0b67e2785e,5.0,scanned_en,len=0 lang=en score=0.00 decision=scanned_low_text,pending,False,unsure,osd,0.0,unsure;unsure,False
