source_name,link
,https://workdrive.zoho.in/file/zu51z3fd79a8ad1824aeb9a91b1af7a6c80a6
,https://workdrive.zoho.in/file/cg2nn0222b2f6903b4c5cad94b556eea65cc2
,https://workdrive.zoho.in/file/pabgga825469944174e76a08dfe913d74b7e7
,https://workdrive.zoho.in/file/cg2nnc860a04f1d4a48faa8f7863c39d8caa7
,https://workdrive.zoho.in/file/cg2nn14056cd7465d4ce691a9e2c55321e57c
,https://workdrive.zoho.in/file/4xdjh5c1575b0b7d7445b98b25d14096b1471
,https://workdrive.zoho.in/file/shhin8d7056c3db7d4101a6e25f2052b5d628
,https://workdrive.zoho.in/file/shhin39919b29b96343dfaa1281ba65d993df
,https://workdrive.zoho.in/file/2ojp3d81ef5e440ca44a4ba2fe071a76365b8
,https://workdrive.zoho.in/file/4xdjh7018a0ab33ee40a4bf48d2eb443dfaf7
,https://workdrive.zoho.in/file/qpkuu668a3e86544e421f9337aa706204928c
Punjab - Crop establishment methods and management practices,https://workdrive.zoho.in/file/2ojp36050c1f920364c768fdf4a48e1b953ba
,https://workdrive.zoho.in/file/435hh88169bbf4e524cc9b4e7fe7d0b9f7af5
,https://workdrive.zoho.in/file/pabgg2f77a89be99a4f0192c880ba12cb7bf2
Department contact no. - Punjab agriculture & farmer welfare,https://workdrive.zoho.in/file/fh79ne381ade3ed8946a5a91900d759009377
,https://workdrive.zoho.in/file/fh79n2fee30659816424a80c7fa5d9ee10fe6
,https://workdrive.zoho.in/file/ottdwaf92246f7b0f4fc1940a70fbb624805d
,https://workdrive.zoho.in/file/fh79n3930afcf7bdf46ffad505d8fd90bddaf
,https://workdrive.zoho.in/file/2ojp3ed16bd4d70c04853a6b4e928143f4adb
Rice - Pest Management,https://workdrive.zoho.in/file/2ra2h36214be2b8ae4385917e23cb02abfb88
,https://workdrive.zoho.in/file/kkc9efa92ddabde2c4e3d94765ce94e66fd68
,https://workdrive.zoho.in/file/ottdw319e65917a644e92bdb298feddde2ad0
,https://workdrive.zoho.in/file/pabggfbd8f20e725a4824a3647fcf0c4befb6
,https://www.iffco.in/en/potassium-nitrate
Preview Not Available,https://workdrive.zoho.in/file/yjcwi1e6a5b3548b8429fbc5441980d446165
,https://workdrive.zoho.in/file/hwc4706df4e73c23646cfa22c3ddb726acf33
,https://workdrive.zoho.in/file/zhubf5957872a8326497d8b4c06fbe819e2ef
Pesticides and Fertilizers Health Impact,https://workdrive.zoho.in/file/dj9iad3ade8503ffd4b6084ccc9f017842f5c
Rice knowledge bank-Paddy-Transplanting,https://workdrive.zoho.in/file/p7iy549fdd6d293694ad19a3cfc28ec7ee1b8
,https://workdrive.zoho.in/file/p7iy5ba8ae051ac244a598117347aa7677003
IRRI-Blue green algae collection,https://workdrive.zoho.in/file/p7iy5058a963d66e14be796415934e7851bea
,https://workdrive.zoho.in/file/p7iy5b698db187fb9416791821368a09922cc
,https://workdrive.zoho.in/file/j15l48fcab2d70f314ceba62c8e67b28a0312
,https://workdrive.zoho.in/file/wqwyd02dc168916fc43b0a6e63233bfc1ecb2
Grazm panchayat ration cad list UP,https://workdrive.zoho.in/file/j15l4b0db532c73fd4af3970749afd14566c0
,https://workdrive.zoho.in/file/f9h0v40d2644ce46a4403a47a39cb290a0052
,https://workdrive.zoho.in/file/f9h0v0a252c817ee246dcb0b4e5a9758cf6fb
Transforming rice cultivation through organic direct-seeded rice,https://workdrive.zoho.in/file/095h55db3fbe14f834675afa9459eaa51f31f
,https://workdrive.zoho.in/file/a7d218d05ca2b0d7d4e94979b29b7d19c43d8
,https://workdrive.zoho.in/file/a7d21123b1292d9ef4b0bbb565560d62b6896
"Entomology Research Unit, Department of Zoology, the University of Burdwan, Burdwan, West Bengal, India",https://workdrive.zoho.in/file/a7d21585217ea379c4ee6b70965c49d9915d5
,https://workdrive.zoho.in/file/f48vv502d09cc08254230a129d3bd0def1e04
,https://workdrive.zoho.in/file/f48vv906303859d7c43c4851ad9f5782a63eb
,https://workdrive.zoho.in/file/kdqtx4dfd470e7ea64a9fb3595fbc4ab09ab6
,https://workdrive.zoho.in/file/mwsxe8f515e185d12456ea3ea90d7ac48f0b0
,https://workdrive.zoho.in/file/s9262636e1262da8f4bf3a77cb013d67e027b
,https://workdrive.zoho.in/file/fukzm8f37d94aaae744baad24f758a2121bbb
,https://workdrive.zoho.in/file/fukzm3c56c23bdc6846ffa5bc22f791b16560
IARI- Pusa basmati varieties,https://workdrive.zoho.in/file/8o8bp77207417241d4a81bd6e5870b16ca6fe
,https://workdrive.zoho.in/file/mwsxe87860246d728456a8ccd0b0d4482fc1c
,https://workdrive.zoho.in/file/2ra2hb3668816b45e4cbeb7633a5d879a1161
,https://workdrive.zoho.in/file/psfdk45de8087d0ba42cc91cd5cee2a0dffb4
,https://workdrive.zoho.in/file/6ldvi6bfe340c6c5d4a39bf19c45c6ff05ec1
Preview not available,https://workdrive.zoho.in/file/nkuox834c99cc05b3466b8d762bfcbb4a0b82
,https://workdrive.zoho.in/file/3osm7366adc00ee0a48c4b83386344014653c
"IFFCO- Mono Ammonium Phosphate - Indian Farmers Fertiliser Cooperative Limited, New Delhi",https://workdrive.zoho.in/file/ydgt693dd5c4079ce46f7b270ad0ca11df22c
,https://www.icar.org.in/sites/default/files/2022-09/Rabi-Agro-Advisory-2021-22_0.pdf
"Sowings and other practices across zones of India
Crop Season 2024-25 (IIWBR)",https://iiwbr.org.in/wp-content/uploads/2025/01/Advisory-to-wheat-farmers-January-1-15-2025.pdf
DIRECTORATE OF PULSES DEVELOPMENT Report : 2019-20,https://dpd.gov.in/NLMT%20Report%20Rabi%20-2019-20.pdf
Crop Protection - Termite (Wheat),https://termitexpert.in/page.php?pageid=93
,https://www.kvkmuktsar.com/
,https://www.kvkmuktsar.com/contact-us.html
Crop Protection TNAU - Chilli Thrips,https://agritech.tnau.ac.in/crop_protection/crop_prot_crop_insect-veg_chillies_pest&disease.html
Crop Protection TNAU - Tomato Whitefly,https://agritech.tnau.ac.in/crop_protection/tomato/tomato_4.html
Insecticide list 2025 - PPQS,https://ppqs.gov.in/sites/default/files/1._mup_insecticide_03.04.2025.pdf
POP PAU Rabi crops 2025-26,https://drive.google.com/file/d/1zcJ_9vNIa4fcJ476bUq-qkoL0agk0TJi/view?usp=sharing
,https://www.pau.edu/content/ccil/pf/pp_rabi.pdf
Herbicide list 2025 - PPQS,https://ppqs.gov.in/sites/default/files/4._herbicides_mup_as_on_31.03.2025.pdf
,https://www.ppqs.gov.in/sites/default/files/1._mup_insecticide_03.04.2025.pdf
ICAR - Phalaris minor weed control,https://workdrive.zoho.in/file/61q4j7c3bf1e5a8b64a47ba7645e8c2d924ff
,https://www.iffco.in/en/nano-dap-liquid?
Fungicide list 2025 - PPQS,https://ppqs.gov.in/sites/default/files/2._chemical_mup_as_on_31.03.2025.pdf
,https://workdrive.zoho.in/file/n5d2h366c50570bbd4526bd21a8e84d6c802a
,https://workdrive.zoho.in/file/n5d2h99db22c3e9ab4957bf32892c19ed945f
,https://www.pau.edu/index.php?_act=manageContactUs&DO=contactUs
,https://workdrive.zoho.in/file/up1lza97853c4b6264b89b45444ff91871611
,https://workdrive.zoho.in/file/up1lzf699c5c24969479b9527849108cffacf
,https://workdrive.zoho.in/file/up1lz88529ff3c3194ef28d15d2384b8b3c96
,https://workdrive.zoho.in/file/up1lz5b862b26c2fe424a998a32d793c997ea
,https://workdrive.zoho.in/file/up1lzcad71eaebd64420a97f732b1682e56b8
,https://workdrive.zoho.in/file/zotk86dc98620d15c47aa88c7f51bd58296b5
PAU-KVK Extension officers contact,https://workdrive.zoho.in/file/p39vw80e75750735d43b0800002182ada58f5
PAU-KVK Extension officers contact,https://workdrive.zoho.in/file/p39vw3bddcbb426be42e8a6ea29abfce63d0c
,https://workdrive.zoho.in/folder/p39vw7b4d3d2bf0a14e8daeed1ed1383aaa53
,https://workdrive.zoho.in/file/p39vw6ebdc7fde616440f948bc6b9b0e7e396
,https://workdrive.zoho.in/file/p39vw87e9ec6edbb147fcb60df1f56d6dc124
Preview Not Available,https://workdrive.zoho.in/file/yjr6gc8e5c6b373e5424a964d232835517bdb
PAU-Farmer Welfare Department Contact Number,https://workdrive.zoho.in/file/p39vw9ade1d16c1de4eea8cb0c350427b4177
,https://workdrive.zoho.in/file/p39vw8767a82e10864da4b799982f98e6b55b
PMFBY,https://pmfby.gov.in/
,https://workdrive.zoho.in/file/jtok7ad2e371626ea4cf0a32060fd86df2487
,https://workdrive.zoho.in/file/https://workdrive.zoho.in/file/bwtg77b8b0ce333b2414cb8e85e9ddc8c2b88
,https://workdrive.zoho.in/file/kkc9e09957e00b278403ea5d0f0e0b4dfc604
,https://workdrive.zoho.in/file/kkc9eb6073805a36c489c9073ffabe8c4af1a
PAU-Use of Nano Urea,https://workdrive.zoho.in/file/wyumw3b1d5bfd6474448cbd9fba83ae1b92a9
,https://workdrive.zoho.in/file/v8ybodc9a984d8de8486aa5a8b3c6e4e8de4f
,https://workdrive.zoho.in/file/v8ybob946d4249ebb4b04b31a2545bae3a821
"ICAR-IIWBR, WHEAT CROP HEALTH NEWS LETTER, Karnal-132001,Haryana",https://workdrive.zoho.in/file/f03zh56d5c8295cb944e995f30305127cd36e
,https://workdrive.zoho.in/file/f03zh262e7be29d9445369c3c1b07e48abdf8
Punjab State Agri. Marketing Board Contact Information,https://workdrive.zoho.in/file/f03zhdd5dbd4c20ec480c8bf993e78112545c
,https://workdrive.zoho.in/file/wyumwd66547e6b8df43689588eedbb6559759
,https://www.cropscience.bayer.in/en/improve-yield/seed-growth-en/gaucho
Preview Not Available,https://workdrive.zoho.in/file/yjr6g2490fdbc41bf49278c7f9fe6941a04f9
AIRTCLE BLB,https://workdrive.zoho.in/file/ma9uqf73b608cba504a458f5fa2d1384ab964
,https://workdrive.zoho.in/file/l1tkdd6c064d904e5489ea1dd3f6dd4827da4
,https://workdrive.zoho.in/file/skuoedd33b8fc454d4624aa944edc941d6a22
,https://workdrive.zoho.in/file/skuoeb19127f4753b47f8a2c69b97cebe902a
,https://workdrive.zoho.in/file/skuoe53517aecb9a64418adce217867d95712
,https://workdrive.zoho.in/file/bl5ambb4e854ec33b4a8b9d4ab30ccb54882f
Canal Water Flow,https://workdrive.zoho.in/file/bl5amd43397e473e147f8a1f07fa0d97b4a5f
,https://www.indiacustomercare.com/madhya-pradesh-state-seed-certification-agency-contact-no?
,https://workdrive.zoho.in/file/kqvfr3ecdd453a995467b9f708d21ab2761b7
,https://workdrive.zoho.in/file/2u2rr4f109e0cac04447985a8efb7b0944df2
,https://workdrive.zoho.in/file/kqvfr7801e0138bee494ebe99e52239c7efc5
,https://workdrive.zoho.in/file/kqvfrd0cc4013c86e46eb84be2eac42959d96
,https://workdrive.zoho.in/file/kqvfre5939b2bc787471691396dee606418d6
,https://workdrive.zoho.in/folder/kqvfr4920cba0cbda4118ba30ce27227d8fdf
,https://workdrive.zoho.in/file/2u2rrfbcbdc917d8c4dc08ccd5ab16e396be7
,https://workdrive.zoho.in/file/2u2rr6e5de9cee9ce487ca507e1bcb196f6da
,https://workdrive.zoho.in/file/bl5amf2d27abb03344f8bbe193ec85e3a3fca
,https://workdrive.zoho.in/file/go70v207abead7244423caa67884beb16c433
MP e Uparjan Portal,https://workdrive.zoho.in/file/go70v418e35932a2a4cb89c24bc8004177ed5
,https://workdrive.zoho.in/file/serujc30f859933fd4db5a181331bae398f86
,https://workdrive.zoho.in/file/serujee52af569f3c4fa8ae6b0e38c4472c8a
MP e Uparjan application portal,https://workdrive.zoho.in/file/go70v4614097464ef4abba6b86cb8124e8dce
,https://workdrive.zoho.in/file/go70v74f5dc032afb4976b96b3c45e4f681ff
,https://workdrive.zoho.in/file/go70ve4d2864476804a7383499d621324a22a
NIPHM - Wheat,https://workdrive.zoho.in/file/go70v29d76cf7a5ce4b56893cbd2fcbac190f
PPQS Fungicide 2025,https://workdrive.zoho.in/file/go70v96f6b48bdd4b445e9fe39c3be5ac1089
Chief Minister Farmer Life Welfare Scheme (Madhya Pradesh),https://workdrive.zoho.in/file/go70v8fd6bb2dfa724fc18ead594f0e3771b1
Govt. of Madhyapradesh,https://workdrive.zoho.in/file/anv1v6c8903755d2e42638eaa3e1128ec1068
,https://workdrive.zoho.in/file/anv1vbe666ddd8ae94b2cacd0951aa70e7f00
IFFCO,https://workdrive.zoho.in/file/anv1v37b9b9573f5f4543a0ff39e4f2f8f1cb
Govt. of Madhyapradesh,https://workdrive.zoho.in/file/anv1v6a9ccfebc9a84182aa1ea1b1e3be8327
"National Informatics Centre,Ministry of Electronics & Information Technology, Govt. of India",https://workdrive.zoho.in/file/anv1v912860c47fe146e4b0d8462ee437eba0
,https://workdrive.zoho.in/file/anv1v14c450c183e44fbb80b9166a2243aaa8
,https://workdrive.zoho.in/file/serujc9f175642c8d433e95604d21f0ee4842
,https://workdrive.zoho.in/file/seruj12717126db6540cfb99b49b54ad787a2
,https://workdrive.zoho.in/file/serujb64ecbe7d91644b29fedc99540929d6b
Ministry of AgricultureDepartment of Agriculture and Co-operation- Agriculture marketing,https://workdrive.zoho.in/file/serujac9b75260eac4be18b497442991dc436
MoA&FW.-  Production Enhancement,https://workdrive.zoho.in/file/serujf9744e9d92cf4615b932df45e66e954a
,https://workdrive.zoho.in/file/ifu0nae047b1873774bfa8532c654748c5f14
,https://workdrive.zoho.in/file/ifu0na724dbddb30e4316915243cef5211305
AgMarket,https://workdrive.zoho.in/file/ifu0n189442b90c29485cb25704b4bc86594b
